#,Player,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,eFG%,TS%,TOV%,TOT,KEN
268,DeMarcus Cousins,535,17307,11518,4105,8924,46.0,316.0,936.0,33.8,2992,4061,73.7,1522.0,4362.0,5884,1725,764.0,653.0,1928.0,47.8,53.8,3.6037383177570095,9026.0,1.187034148032588
4,Michael Jordan,1072,41010,32292,12192,24537,49.7,581.0,1778.0,32.7,7327,8772,83.5,1668.0,5004.0,6672,5633,2514.0,893.0,2924.0,50.9,56.9,2.7276119402985075,15712.0,1.170543769812241
90,Russell Westbrook,748,25700,17184,5996,13780,43.5,803.0,2584.0,31.1,4389,5395,81.4,1262.0,3691.0,4953,6113,1300.0,217.0,3001.0,46.4,53.2,4.012032085561497,12583.0,1.1582490272373542
8,Shaquille O'Neal,1207,41917,28596,11330,19457,58.2,1.0,22.0,4.5,5935,11252,52.7,4209.0,8890.0,13099,3026,739.0,2732.0,3310.0,58.2,58.6,2.7423363711681854,19596.0,1.1497005988023954
1,Kareem Abdul-Jabbar,1560,57446,38387,15837,28307,55.9,1.0,18.0,5.6,6712,9304,72.1,2975.0,9394.0,17440,5660,1160.0,3189.0,2527.0,55.9,59.2,1.619871794871795,27449.0,1.146050203669533
7,LeBron James,1143,44297,31038,11280,22383,50.4,1616.0,4701.0,34.4,6862,9283,73.9,1386.0,7029.0,8415,8208,1865.0,888.0,3966.0,54.0,58.6,3.4698162729658795,19376.0,1.1380906156173105
382,Anthony Davis,410,14258,9607,3623,7004,51.7,133.0,431.0,30.9,2228,2801,79.5,1034.0,3200.0,4234,764,551.0,986.0,757.0,52.7,58.3,1.8463414634146342,6535.0,1.132136344508346
33,Larry Bird,897,34443,21791,8591,17334,49.6,649.0,1727.0,37.6,3960,4471,88.6,1757.0,7217.0,8974,5695,1556.0,755.0,2816.0,51.4,56.4,3.1393534002229653,16980.0,1.1256568823853903
11,Hakeem Olajuwon,1238,44218,26946,10749,20991,51.2,25.0,124.0,20.2,5423,7621,71.2,4034.0,9714.0,13748,3058,2162.0,3830.0,3667.0,51.3,55.3,2.9620355411954766,22798.0,1.1249717309692886
38,David Robinson,987,34273,20790,7365,14221,51.8,25.0,100.0,25.0,6035,8201,73.6,3083.0,7414.0,10497,2441,1388.0,2954.0,2417.0,51.9,58.3,2.4488348530901725,17280.0,1.1107869168149855
